Flight Number,Date,Taxi Takeoff,Average Delay Takeoff,Gate Departure Actual,Gate Departure Estimated,Takeoff Actual,Takeoff Estimated,Taxi Landing,Average Delay Landing,Landing Actual,Landing Estimated,Gate Arrival Actual,Gate Arrival Estimated
AAL1977,SATURDAY 30-MAR-2024,Taxi Time: 15 minutes,Average Delay: 10-20 minutes,5:00 PM,5:05 PM,5:15 PM,5:15 PM,Taxi Time: 15 minutes,Average Delay: 10-20 minutes,6:00 PM,6:00 PM,6:06 PM,6:17 PM
SWA3001,SATURDAY 30-MAR-2024,Taxi Time: 10 minutes,Average Delay: Less than 10 minutes,3:44 PM,3:45 PM,3:54 PM,3:55 PM,Taxi Time: 10 minutes,Average Delay: Less than 10 minutes,4:35 PM,4:44 PM,4:40 PM,4:55 PM
SWA2388,SATURDAY 30-MAR-2024,Taxi Time: 10 minutes,Average Delay: 20-40 minutes,2:06 PM,2:05 PM,2:16 PM,2:15 PM,Taxi Time: 10 minutes,Average Delay: 20-40 minutes,2:58 PM,3:06 PM,3:04 PM,3:15 PM
AAL1541,SATURDAY 30-MAR-2024,Taxi Time: 17 minutes,Average Delay: 20-40 minutes,1:53 PM,2:00 PM,2:10 PM,2:10 PM,Taxi Time: 17 minutes,Average Delay: 20-40 minutes,2:55 PM,2:54 PM,3:00 PM,3:11 PM
FFT1895,SATURDAY 30-MAR-2024,Taxi Time: 19 minutes,Average Delay: Less than 10 minutes,1:03 PM,1:13 PM,1:22 PM,1:23 PM,Taxi Time: 19 minutes,Average Delay: Less than 10 minutes,2:05 PM,2:09 PM,2:15 PM,2:28 PM
NKS2043,SATURDAY 30-MAR-2024,Taxi Time: 10 minutes,Average Delay: Less than 10 minutes,11:09 AM,11:20 AM,11:19 AM,11:30 AM,Taxi Time: 10 minutes,Average Delay: Less than 10 minutes,12:03 PM,12:22 PM,12:10 PM,12:34 PM
AAL2109,SATURDAY 30-MAR-2024,Taxi Time: 20 minutes,Average Delay: 10-20 minutes,10:28 AM,10:32 AM,10:48 AM,10:42 AM,Taxi Time: 20 minutes,Average Delay: 10-20 minutes,11:34 AM,11:25 AM,11:40 AM,11:54 AM
SWA1979,SATURDAY 30-MAR-2024,Taxi Time: 19 minutes,Average Delay: 10-20 minutes,10:37 AM,10:20 AM,10:56 AM,10:30 AM,Taxi Time: 19 minutes,Average Delay: 10-20 minutes,11:39 AM,11:15 AM,11:45 AM,11:35 AM
SWA953,SATURDAY 30-MAR-2024,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,7:57 AM,8:00 AM,8:12 AM,8:10 AM,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,8:56 AM,8:57 AM,9:02 AM,9:10 AM
AAL1611,SATURDAY 30-MAR-2024,Taxi Time: 21 minutes,Average Delay: Less than 10 minutes,7:20 AM,7:25 AM,7:41 AM,7:35 AM,Taxi Time: 21 minutes,Average Delay: Less than 10 minutes,8:26 AM,8:19 AM,8:32 AM,8:41 AM
SWA1261,SATURDAY 30-MAR-2024,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,6:31 AM,6:35 AM,6:42 AM,6:45 AM,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,7:27 AM,7:31 AM,7:32 AM,7:45 AM
SWA2388,MONDAY 01-APR-2024,Taxi Time: 12 minutes,Average Delay: 20-40 minutes,2:07 PM,2:05 PM,2:19 PM,2:15 PM,Taxi Time: 12 minutes,Average Delay: 20-40 minutes,3:03 PM,3:07 PM,3:09 PM,3:15 PM
AAL1541,MONDAY 01-APR-2024,Taxi Time: 17 minutes,Average Delay: 20-40 minutes,2:07 PM,2:00 PM,2:24 PM,2:10 PM,Taxi Time: 17 minutes,Average Delay: 20-40 minutes,3:11 PM,2:54 PM,3:16 PM,3:11 PM
FFT1895,MONDAY 01-APR-2024,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,1:01 PM,1:10 PM,1:13 PM,1:20 PM,Taxi Time: 12 minutes,Average Delay: Less than 10 minutes,1:57 PM,2:06 PM,2:04 PM,2:25 PM
TIV85,,,,,,,,,,,,,
SWA1051,MONDAY 01-APR-2024,Taxi Time: 8 minutes,Average Delay: 10-20 minutes,12:16 PM,11:55 AM,12:24 PM,12:05 PM,Taxi Time: 8 minutes,Average Delay: 10-20 minutes,1:07 PM,1:00 PM,1:13 PM,1:05 PM
NKS2043,MONDAY 01-APR-2024,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,11:11 AM,11:20 AM,11:26 AM,11:30 AM,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,12:12 PM,12:16 PM,12:15 PM,12:34 PM
SWA1979,MONDAY 01-APR-2024,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,10:38 AM,10:40 AM,10:56 AM,10:50 AM,Taxi Time: 18 minutes,Average Delay: Less than 10 minutes,11:45 AM,11:34 AM,11:49 AM,11:55 AM
AAL2109,MONDAY 01-APR-2024,Taxi Time: 26 minutes,Average Delay: 20-40 minutes,10:55 AM,10:32 AM,11:21 AM,10:42 AM,Taxi Time: 26 minutes,Average Delay: 20-40 minutes,12:08 PM,11:28 AM,12:18 PM,11:54 AM
SWA3084,MONDAY 01-APR-2024,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,9:25 AM,9:15 AM,9:40 AM,9:25 AM,Taxi Time: 15 minutes,Average Delay: Less than 10 minutes,10:25 AM,10:24 AM,10:30 AM,10:30 AM
SWA2684,MONDAY 01-APR-2024,Taxi Time: 10 minutes,Average Delay: Less than 10 minutes,8:09 AM,8:10 AM,8:19 AM,8:20 AM,Taxi Time: 10 minutes,Average Delay: Less than 10 minutes,9:02 AM,9:09 AM,9:09 AM,9:20 AM
AAL1611,MONDAY 01-APR-2024,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,7:52 AM,7:25 AM,8:08 AM,7:35 AM,Taxi Time: 16 minutes,Average Delay: Less than 10 minutes,8:51 AM,8:29 AM,8:58 AM,8:41 AM
SWA953,MONDAY 01-APR-2024,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,7:17 AM,7:20 AM,7:30 AM,7:30 AM,Taxi Time: 13 minutes,Average Delay: Less than 10 minutes,8:16 AM,8:17 AM,8:23 AM,8:30 AM
SNC1367,,,,,,,,,,,,,
SWA2435,MONDAY 01-APR-2024,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,6:12 AM,6:10 AM,6:23 AM,6:20 AM,Taxi Time: 11 minutes,Average Delay: Less than 10 minutes,7:09 AM,7:04 AM,7:14 AM,7:20 AM
SWA2871,SUNDAY 31-MAR-2024,Taxi Time: 9 minutes,Average Delay: 10-20 minutes,9:56 PM,9:40 PM,10:05 PM,9:50 PM,Taxi Time: 9 minutes,Average Delay: 10-20 minutes,10:51 PM,10:43 PM,11:00 PM,10:45 PM
FFT2517,SUNDAY 31-MAR-2024,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,8:38 PM,8:45 PM,8:58 PM,8:55 PM,Taxi Time: 20 minutes,Average Delay: 20-40 minutes,9:41 PM,9:40 PM,9:53 PM,10:01 PM
SWA3707,SUNDAY 31-MAR-2024,Taxi Time: 14 minutes,Average Delay: 40 minutes - 1 hour,9:03 PM,8:25 PM,9:17 PM,8:35 PM,Taxi Time: 14 minutes,Average Delay: 40 minutes - 1 hour,10:01 PM,9:28 PM,10:12 PM,9:35 PM
AAL2106,SUNDAY 31-MAR-2024,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,8:18 PM,8:24 PM,8:32 PM,8:34 PM,Taxi Time: 14 minutes,Average Delay: Less than 10 minutes,9:17 PM,9:18 PM,9:33 PM,9:38 PM
