Airport Code,Location Code,Airport Name,City,Country,Timezone Offset (H),Timezone Offset (M),Timezone Offset (S),Latitude Direction,Latitude Degrees,Latitude Minutes,Latitude Seconds,Longitude Direction,Longitude Degrees,Latitude,Longitude
KNSI,N/A,N/A,SAN NICOLAS ISLAND,USA,0,0,0,U,0,0,0,U,0,0,0
KNTD,NTD,POINT MUGU NAS,POINT MUGU,USA,34,7,13,N,119,7,15,W,4,34.12,-119.121
KNTK,NTK,TUSTIN MCAF,TUSTIN,USA,33,42,22,N,117,49,38,W,17,33.706,-117.827
KNTU,NTU,OCEANA NAS,OCEANA,USA,36,49,14,N,76,2,0,W,7,36.821,-76.033
KNUQ,NUQ,MOFFETT FEDERAL AFLD,MOUNTAIN VIEW,USA,37,24,54,N,122,2,53,W,10,37.415,-122.048
KNUW,NUW,WHIDBEY ISLAND NAS,WHIDBEY ISLAND,USA,48,21,6,N,122,39,21,W,15,48.352,-122.656
KNVF,N/A,N/A,VIRGINIA BEACH,USA,0,0,0,U,0,0,0,U,0,0,0
KNXP,NXP,TWENTYNINE PALMS EAF,TWENTY NINE PALMS,USA,34,17,46,N,116,9,43,W,623,34.296,-116.162
KNXX,NXX,WILLOW GROVE NAS JRB,WILLOW GROVE,USA,40,11,59,N,75,8,53,W,111,40.2,-75.148
KNYG,NYG,QUANTICO MCAF,QUANTICO,USA,38,30,6,N,77,18,19,W,4,38.502,-77.305
KNZC,NZC,CECIL FLD,JACKSONVILLE,USA,30,13,7,N,81,52,35,W,25,30.219,-81.876
KNZW,N/A,N/A,SOUTH WEYMOUTH,USA,0,0,0,U,0,0,0,U,0,0,0
KNZY,NZY,NORTH ISLAND NAS,SAN DIEGO,USA,32,41,57,N,117,12,55,W,8,32.699,-117.215
KOAK,OAK,METROPOLITAN OAKLAND INTERNATIONAL,OAKLAND,USA,37,43,16,N,122,13,14,W,2,37.721,-122.221
